omega_rad_per_sample,abs_q_true_1_from_2,abs_q_hat_1_from_2,abs_q_hat_2_from_1
2.72183041,0.29524835,0.29524835,0.00000000
2.73375822,0.29504703,0.29504703,0.00000000
2.74568604,0.29485159,0.29485159,0.00000000
2.75761385,0.29466201,0.29466201,0.00000000
2.76954167,0.29447830,0.29447830,0.00000000
2.78146948,0.29430045,0.29430045,0.00000000
2.79339730,0.29412845,0.29412845,0.00000000
2.80532511,0.29396230,0.29396230,0.00000000
2.81725292,0.29380199,0.29380199,0.00000000
2.82918074,0.29364751,0.29364751,0.00000000
2.84110855,0.29349887,0.29349887,0.00000000
2.85303637,0.29335606,0.29335606,0.00000000
2.86496418,0.29321907,0.29321907,0.00000000
2.87689200,0.29308789,0.29308789,0.00000000
2.88881981,0.29296253,0.29296253,0.00000000
2.90074762,0.29284297,0.29284297,0.00000000
2.91267544,0.29272922,0.29272922,0.00000000
2.92460325,0.29262127,0.29262127,0.00000000
2.93653107,0.29251912,0.29251912,0.00000000
2.94845888,0.29242276,0.29242276,0.00000000
2.96038670,0.29233219,0.29233219,0.00000000
2.97231451,0.29224741,0.29224741,0.00000000
2.98424232,0.29216841,0.29216841,0.00000000
2.99617014,0.29209519,0.29209519,0.00000000
3.00809795,0.29202775,0.29202775,0.00000000
3.02002577,0.29196609,0.29196609,0.00000000
3.03195358,0.29191020,0.29191020,0.00000000
3.04388140,0.29186009,0.29186009,0.00000000
3.05580921,0.29181574,0.29181574,0.00000000
3.06773702,0.29177716,0.29177716,0.00000000
3.07966484,0.29174435,0.29174435,0.00000000
3.09159265,0.29171731,0.29171731,0.00000000
